지역,지명,몹개수,몹1exp,몹1레벨,몹2exp,몹2레벨
에스페라,겨울빛에 물든 바다 3,23,509964,244,518511,245
에스페라,겨울빛에 물든 바다 4,26,518511,245,,
에스페라,겨울빛에 물든 바다 5,28,527106,246,,
에스페라,겨울빛에 물든 바다 6,28,527106,246,535749,247
에스페라,겨울빛에 물든 바다 7,31,535749,247,,
에스페라,겨울빛에 비친 빛의 신전 2,38,544459,248,,
에스페라,겨울빛에 비친 빛의 신전 3,39,544459,248,553217,249
에스페라,겨울빛에 비친 빛의 신전 4,38,553217,249,,
셀라스,빛이 마지막으로 닿는 곳 1,25,518511,245,,
셀라스,빛이 마지막으로 닿는 곳 2,32,518511,245,,
셀라스,빛이 마지막으로 닿는 곳 3,37,518511,245,,
셀라스,빛이 마지막으로 닿는 곳 4,25,527106,246,,
셀라스,빛이 마지막으로 닿는 곳 5,32,527106,246,,
셀라스,빛이 마지막으로 닿는 곳 6,38,527106,246,,
셀라스,빛이 마지막으로 닿는 곳 7,25,535749,247,,
셀라스,빛이 마지막으로 닿는 곳 8,31,535749,247,,
셀라스,빛이 마지막으로 닿는 곳 9,37,535749,247,,
셀라스,끝없이 추락하는 심해 1,25,554459,248,,
셀라스,끝없이 추락하는 심해 2,33,554459,248,,
셀라스,끝없이 추락하는 심해 3,38,554459,248,,
셀라스,끝없이 추락하는 심해 4,25,553217,249,,
셀라스,끝없이 추락하는 심해 5,32,553217,249,,
셀라스,끝없이 추락하는 심해 6,37,553217,249,,
셀라스,별이 삼켜진 심해 1,24,584807,250,,
셀라스,별이 삼켜진 심해 2,32,584807,250,,
셀라스,별이 삼켜진 심해 3,38,584807,250,,
셀라스,별이 삼켜진 심해 4,24,594040,251,,
셀라스,별이 삼켜진 심해 5,31,594040,251,,
셀라스,별이 삼켜진 심해 6,39,594040,251,,
문브릿지,사상의 경계 1,38,584807,250,,
문브릿지,사상의 경계 2,33,594040,251,,
문브릿지,사상의 경계 3,34,584807,250,,
문브릿지,사상의 경계 4,37,584807,250,,
문브릿지,사상의 경계 5,35,594040,251,,
문브릿지,사상의 경계 6,38,584807,250,594040,251
문브릿지,미지의 안개 1,33,603318,252,,
문브릿지,미지의 안개 2,32,612643,253,,
문브릿지,미지의 안개 3,37,603318,252,612643,253
문브릿지,미지의 안개 4,36,603318,252,,
문브릿지,미지의 안개 5,35,612643,253,,
문브릿지,미지의 안개 6,36,603318,252,612643,253
문브릿지,공허의 파도 1,35,622041,254,,
문브릿지,공허의 파도 2,31,322041,254,,
문브릿지,공허의 파도 3,31,622041,254,,
문브릿지,공허의 파도 4,33,622041,254,,
문브릿지,공허의 파도 5,33,622041,254,,
문브릿지,공허의 파도 6,34,622041,254,,
고통의미궁,고통의 미궁 내부 1,29,631458,255,,
고통의미궁,고통의 미궁 내부 2,28,631458,255,,
고통의미궁,고통의 미궁 내부 3,33,631458,255,,
고통의미궁,고통의 미궁 내부 4,26,640971,256,,
고통의미궁,고통의 미궁 내부 5,29,640971,256,,
고통의미궁,고통의 미궁 내부 6,28,640971,256,,
고통의미궁,고통의 미궁 중심부 1,32,650504,257,,
고통의미궁,고통의 미궁 중심부 2,28,650504,257,,
고통의미궁,고통의 미궁 중심부 3,35,661261,258,,
고통의미궁,고통의 미궁 중심부 4,36,661261,258,,
고통의미궁,고통의 미궁 중심부 5,33,661261,258,,
고통의미궁,고통의 미궁 중심부 6,35,661261,258,,
고통의미궁,고통의 미궁 중심부 7,29,661261,258,,
고통의미궁,고통의 미궁 최심부 1,28,670940,259,,
고통의미궁,고통의 미궁 최심부 2,30,670293,259,,
고통의미궁,고통의 미궁 최심부 3,31,670940,259,,
고통의미궁,고통의 미궁 최심부 4,31,670940,259,,
고통의미궁,고통의 미궁 최심부 5,33,670940,259,,
고통의미궁,고통의 미궁 최심부 6,29,670940,259,,
리멘,세계의 눈물 하단 1,32,680638,260,,
리멘,세계의 눈물 하단 2,33,680638,260,690432,261
리멘,세게의 눈물 하단 3,31,690432,261,,
리멘,세계의 눈물 중단 1,33,690432,261,,
리멘,세계의 눈물 중단 2,31,690432,261,700242,262
리멘,세계의 눈물 중단 3,30,700242,262,,
리멘,세계가 끝나는 곳 1-4,31,700242,262,,
리멘,세계가 끝나는 곳 1-5,30,700242,262,710121,263
리멘,세계가 끝나는 곳 1-6,34,710121,263,,
리멘,세계가 끝나는 곳 1-7,34,852145,263,,
리멘,세계가 끝나는 곳 2-3,31,710121,263,,
리멘,세계가 끝나는 곳 2-4,32,710121,263,721247,264
리멘,세계가 끝나는 곳 2-5,32,721247,264,,
리멘,세계가 끝나는 곳 2-6,32,865496,264,,
세르니움,해번 암석 지대 1,21,1725461,260,,
세르니움,해변 암석 지대 2,33,1725461,260,,
세르니움,해변 암석 지대 3,38,1725461,260,,
세르니움,해변 암석 지대 4,38,1725461,260,,
세르니움,세르니움 서쪽 성벽 1,21,1750290,261,,
세르니움,세르니움 서쪽 성벽 2,32,1750290,261,,
세르니움,세르니움 서쪽 성벽 3,38,1750290,261,,
세르니움,세르니움 동쪽 성벽 1,22,1775159,262,,
세르니움,세르니움 동쪽 성벽 2,33,1775159,262,,
세르니움,세르니움 동쪽 성벽 3,37,1775159,262,,
세르니움,왕립 도서관 제1구역,21,1800203,263,,
세르니움,왕립 도서관 제2구역,31,1800203,263,,
세르니움,왕립 도서관 제3구역,37,1800203,263,,
세르니움,왕립 도서관 제4구역,24,1828409,264,,
세르니움,왕립 도서관 제5구역,32,1828409,264,,
세르니움,왕립 도서관 제6구역,37,1828409,264,,
불타는세르니,격전의 서쪽 성벽 1,21,2056974,265,,
불타는세르니,격전의 서쪽 성벽 2,32,2056974,265,,
불타는세르니,격전의 서쪽 성벽 3,38,2056974,265,,
불타는세르니,격전의 서쪽 성벽 4,37,2056974,265,,
불타는세르니,격전의 동쪽 성벽 1,23,2085219,266,,
불타는세르니,격전의 동쪽 성벽 2,32,2085219,266,,
불타는세르니,격전의 동쪽 성벽 3,37,2058219,266,,
불타는세르니,격전의 동쪽 성벽 4,21,2113572,267,,
불타는세르니,격전의 동쪽 성벽 5,33,2113572,267,,
불타는세르니,격전의 동쪽 성벽 6,37,2113572,267,,
불타는세르니,불타는 왕립 도서관 제1구역,22,2145596,268,,
불타는세르니,불타는 왕립 도서관 제2구역,33,2145596,268,,
불타는세르니,불타는 왕립 도서관 제3구역,38,2145596,268,,
불타는세르니,불타는 왕립 도서관 제4구역,21,2174274,269,,
불타는세르니,불타는 왕립 도서관 제5구역,31,2174274,269,,
불타는세르니,불타는 왕립 도서관 제6구역,38,2174274,269,,
아르크스,무법자들이 지배하는 황야 1,18,2274336,270,,
아르크스,무법자들이 지배하는 황야 2,31,2274336,270,,
아르크스,낭만이 저무는 자동차 극장 1,17,2382248,271,,
아르크스,낭만이 저무는 자동차 극장 2,26,2382248,271,,
아르크스,낭만이 저무는 자동차 극장 4,18,2413256,272,,
아르크스,낭만이 저무는 자동차 극장 5,32,2413256,272,,
아르크스,종착지 없는 횡단 열차 1,22,2546149,273,,
아르크스,종착지 없는 횡단 열차 2,30,2546149,273,,
아르크스,종착지 없는 횡단 열차 3,22,2582906,274,,
아르크스,종착지 없는 횡단 열차 4,26,2582906,274,,
오디움,,,,,,
